1948,CC(C)Cc1ccc(O)c(c1)-c1cc(-c2cc(Cl)ccc2Cl)c(C#N)c(=O)[nH]1,00000000000000000000000000000000000000000100000000000100000000100100000000100000100000010000100001100001000100100101010001000101000100100101001111000111101111011111110
1949,Oc1ccc(cc1-c1cc(-c2cc(Cl)ccc2Cl)c(C#N)c(=O)[nH]1)C1CCCCC1,00000000000000000000000000000000000000000100000000000100000000100100000000000000100000010000100001100001000100100100011001000101110100100101001111010011101011010111110
1950,Cc1ccc(c(C)c1)-c1cc([nH]c(=O)c1C#N)-c1cc(Br)ccc1O,00000000000000000000000000000000000000000100001000000100000000100100000000000000100000010000100001100000000100100100010001000101000100100101001111000111101011011111110
1951,Cc1ccc(C)c(c1)-c1cc([nH]c(=O)c1C#N)-c1cc(Br)ccc1O,00000000000000000000000000000000000000000100001000000100000000100100000000000000100000010000100001100000000100100100010001000101000100100101001111000111101011011111110
1952,Oc1ccc(Br)cc1-c1cc(-c2cc(Cl)ccc2Cl)c(C#N)c(=O)[nH]1,00000000000000000000000000000000000000000100001000000100000000100100000000000000100000010000100001100001000100100100010001000101000100100101001111000011101011010111110
1953,Oc1ccc(Br)cc1-c1cc(-c2cc(ccc2Cl)C(Cl)(Cl)Cl)c(C#N)c(=O)[nH]1,00000000000000000000000000000000000000000100001000000100000000100100000000000000100000010000100001100001001100101100010001000101000100100101001111000011101011010111110
1954,Oc1ccc(Cl)cc1-c1cc(-c2cc(ccc2Cl)C(F)(F)F)c(C#N)c(=O)[nH]1,00000000000000000000000000000000000000000110000000000100000000100100000000000000100000010000100001100001001100101100010001000101000100100101001111000011101011010111110
1955,Oc1ccc(Br)cc1-c1cc(-c2cc(ccc2Cl)-c2ccccc2)c(C#N)c(=O)[nH]1,00000000000000000000000000000000000000000100001000000100000000100100000000000000100000010000100001100001000100100100010001000101000100100101001111000011101011010111110
1956,CN(Cc1cc(Cl)cc(c1O)-c1cc(-c2cc(ccc2Cl)C(F)(F)F)c(C#N)c(=O)[nH]1)C(=O)C1CCCCC1,00000000000000000000000000000000000000000110000000000100000000100100000000000000100001110010110001101001001110101101011001100101110100101101001111111011111111111111110
1957,Oc1c(CNC(=O)C2CCCCC2)cc(Cl)cc1-c1cc(-c2cc(ccc2Cl)C(F)(F)F)c(C#N)c(=O)[nH]1,00000000000000000000000000000000000000000110000000000100000000100100000000000000101000010011100001101001001100101100011001000101110100101101001111110011111111110111110
